School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8415,Ryde Secondary College,2112,Year 7 to Year 12,1105.0,66.0,1.0,28.0,Ryde,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.813316,151.119176,0
8416,Ku-ring-gai High School,2074,Year 7 to Year 12,1087.0,22.0,2.0,44.0,Ku-ring-gai,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.690973,151.153809,0
8422,Killarney Heights High School,2087,Year 7 to Year 12,1126.0,44.0,15.594132029339853,20.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.771925,151.215215,0
8447,Carlingford High School,2118,Year 7 to Year 12,1115.0,83.0,15.594132029339853,21.0,Parramatta,Sydney - Parramatta,Metropolitan North,Northern Sydney,-33.765412,151.050764,0
8454,Barrenjoey High School,2107,Year 7 to Year 12,1088.0,13.0,15.594132029339853,41.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.63117,151.333926,0
8457,Killara High School,2071,Year 7 to Year 12,1148.0,56.0,0.0,3.0,Ku-ring-gai,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.756575,151.174102,0
8479,Davidson High School,2086,Year 7 to Year 12,1083.0,17.0,15.594132029339853,43.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.74468,151.205465,0
8481,Galston High School,2159,Year 7 to Year 12,1043.0,16.0,1.0,71.0,Hornsby,Sydney - Baulkham Hills and Hawkesbury,Metropolitan North,Northern Sydney,-33.660931,151.042348,0
8498,Muirfield High School,2151,Year 7 to Year 12,1078.0,35.0,1.0,48.0,Parramatta,Sydney - Parramatta,Metropolitan North,Western Sydney,-33.764695,151.022294,0
8511,Northern Beaches Secondary College Cromer Campus,2099,Year 7 to Year 12,1045.0,29.0,2.0,70.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.737765,151.284453,0
8592,Cherrybrook Technology High School,2126,Year 7 to Year 12,1141.0,73.0,15.594132029339853,5.0,Hornsby,Sydney - Baulkham Hills and Hawkesbury,Metropolitan North,Northern Sydney,-33.719852,151.037583,0
8831,Northern Beaches Secondary College Mackellar Girls Campus,2093,Year 7 to Year 12,1109.0,29.0,1.0,31.0,Northern Beaches,Sydney - Northern Beaches,Metropolitan North,Northern Sydney,-33.782109,151.272401,0
8884,Epping Boys High School,2122,Year 7 to Year 12,1112.0,71.0,1.0,15.0,Ryde,Sydney - Ryde,Metropolitan North,Northern Sydney,-33.769453,151.099645,0
8435,Turramurra High School,2074,Year 7 to Year 12,1116.0,38.0,1.0,15.0,Ku-ring-gai,Sydney - North Sydney and Hornsby,Metropolitan North,Northern Sydney,-33.757307,151.114786,0
8187,East Hills Girls Technology High School,2213,Year 7 to Year 12,1021.0,75.0,3.0,87.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.956866,150.992016,2
8209,Cabramatta High School,2166,Year 7 to Year 12,935.0,95.0,1.0,156.0,Fairfield,Sydney - South West,Metropolitan South West,South Western Sydney,-33.901422,150.928913,2
8213,Birrong Boys High School,2143,Year 7 to Year 12,931.0,95.0,2.0,156.0,Canterbury-Bankstown,Sydney - Inner South West,Metropolitan South West,South Western Sydney,-33.894047,151.025024,2
